#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
 931  1.447470e-08  9.574063e-07  1.447470e-08
 933  2.973542e-07  2.684048e-07  4.569911e-07
 935  6.745268e-07  2.973542e-07  1.334579e-06
 937  7.398706e-07  7.688200e-07  1.117043e-06
 939  1.447470e-08  5.512843e-07  2.030610e-07
 941  3.626979e-07  1.305630e-06  3.626979e-07
 943  7.398706e-07  1.447470e-08  1.087679e-07
 945  1.741116e-07  6.455774e-07  3.626979e-07
 947  4.569911e-07  2.973542e-07  8.631131e-07
 949  2.684048e-07  8.341637e-07  1.087679e-07
 951  3.916473e-07  7.398706e-07  4.859405e-07
 953  1.399923e-06  3.626979e-07  7.981846e-08
 955  1.447470e-08  1.494216e-06  1.447470e-08
 957  1.447470e-08  2.973542e-07  2.030610e-07
 959  5.512843e-07  1.087679e-07  9.574063e-07
 961  6.455774e-07  2.973542e-07  3.626979e-07
 963  7.981846e-08  4.569911e-07  1.447470e-08
 965  1.447470e-08  4.859405e-07  4.859405e-07
 967  1.447470e-08  5.512843e-07  4.569911e-07
 969  6.455774e-07  7.688200e-07  7.398706e-07
 971  2.973542e-07  3.916473e-07  2.030610e-07
 973  3.626979e-07  3.626979e-07  8.341637e-07
 975  2.973542e-07  1.399923e-06  1.051699e-06
 977  1.447470e-08  3.916473e-07  3.916473e-07
 979  1.087679e-07  1.087679e-07  1.399923e-06
 981  4.569911e-07  7.688200e-07  4.859405e-07
 983  3.916473e-07  6.455774e-07  3.626979e-07
 985  2.973542e-07  8.341637e-07  1.741116e-07
 987  2.030610e-07  9.574063e-07  1.087679e-07
 989  1.447470e-08  3.916473e-07  1.334579e-06
 991  2.684048e-07  1.334579e-06  7.981846e-08
 993  7.398706e-07  3.916473e-07  9.574063e-07
 995  3.916473e-07  4.569911e-07  2.030610e-07
 997  1.087679e-07  5.802337e-07  1.741116e-07
 999  6.455774e-07  1.741116e-07  7.398706e-07
